Climate;Lat;SG;OCF;Epv;LCOE 
Arid;25.5;6.326;2.110;2090;155.89
Arid;18.5;3.337;2.883;2361;118.22
Arid;-26;3.790;2.246;2158;109.85
Arid;-22;3.149;2.242;2095;99.75
Equatorial;1.3;3.358;1.729;1768;95.09
Equatorial;2.7;3.504;1.862;1821;102.28
Polar;30.7;1.799;2.755;2155;85.92
Arid;-27.5;3.590;3.041;2062;149.97
Arid;-24;4.766;2.686;2244;148.82
Arid;45;1.189;3.649;1518;133.27
Boreal;47.7;1.641;4.977;1162;274.84
Warm;39;1.526;6.550;1729;234.54
Boreal;64.5;7.981;13.484;908;2766.57
Warm;44.5;1.778;6.104;1494;272.84
Warm;53.5;0.858;7.745;971;391.44
Warm;37.3;1.525;5.978;1629;227.23
Warm;41.5;2.246;4.916;1445;257.86
Warm;37.9;2.512;4.221;1848;184.82
Warm;37;2.541;3.600;1707;171.88
Arid;31;1.893;3.875;1962;136.29
Warm;29;3.740;3.283;1691;203.04
Arid;36;1.929;3.886;1977;137.04
Arid;32;2.217;3.225;1959;123.85
Polar;-24;1.970;3.136;2420;91.30
Polar;-55;0.609;6.613;857;341.58
Arid;-19;2.719;2.553;2254;96.18
Equatorial;-6.4;2.764;2.481;2178;97.69
Polar;-27;1.715;5.345;2482;141.22
Arid;-24;2.410;2.867;2525;89.67
Polar;-17;2.616;2.517;2252;92.69
Arid;-6;1.196;2.676;1997;74.43
